symbol,open,close,high,low,quote_volume,taker_buy_base_volume,taker_buy_quote_volume,trades,open_time
NKNUSDT,0.00998,0.00991,0.00998,0.00991,2748.13864,5002.0,49.80515,32,1770005460000
CTSIUSDT,0.0273,0.0272,0.0273,0.0272,1872.8325,899.0,24.5427,21,1770005460000
PEOPLEUSDT,0.00744,0.0074,0.00744,0.0074,17265.83259,541310.0,4006.99001,87,1770005460000
ALGOUSDT,0.1007,0.1003,0.1007,0.1002,23075.99632,117179.8,11783.4883,129,1770005460000
DOGEUSDT,0.10252,0.10197,0.10252,0.10187,1077282.55179,2044013.0,208778.23162,3057,1770005460000
COTIUSDT,0.01398,0.0139,0.01398,0.0139,993.98161,10451.0,145.83948,36,1770005460000
RVNUSDT,0.00599,0.00597,0.00599,0.00597,3145.76234,1674.0,10.01052,28,1770005460000
QTUMUSDT,1.052,1.048,1.052,1.046,4432.1905,935.8,982.4322,52,1770005460000
ATOMUSDT,1.913,1.903,1.913,1.903,30703.83323,2502.33,4770.63133,188,1770005460000
AVAXUSDT,9.779,9.735,9.779,9.735,141888.367,5277.0,51472.413,578,1770005460000
CHZUSDT,0.04546,0.04517,0.04546,0.04517,38742.67388,44846.0,2032.38142,395,1770005460000
UNIUSDT,3.807,3.788,3.807,3.788,206457.428,7764.0,29495.399,512,1770005460000
GTCUSDT,0.106,0.104,0.106,0.104,5811.9376,71.9,7.6214,19,1770005460000
DOTUSDT,1.491,1.483,1.491,1.483,106209.8004,11932.3,17743.5602,361,1770005460000
1000SHIBUSDT,0.006622,0.006586,0.006622,0.006586,75589.163365,4146731.0,27405.346512,399,1770005460000
RSRUSDT,0.001789,0.00178,0.001789,0.00178,1747.388328,152107.0,271.24271,62,1770005460000
ZRXUSDT,0.1061,0.1056,0.1061,0.1056,1499.73839,91.7,9.7202,36,1770005460000
FILUSDT,1.034,1.028,1.034,1.027,221899.0645,42131.4,43379.2697,357,1770005460000
C98USDT,0.0188,0.0188,0.0189,0.0187,10302.6008,77771.0,1464.9175,62,1770005460000
1INCHUSDT,0.1121,0.1114,0.1121,0.1113,10399.0359,12199.0,1363.0918,132,1770005460000
BTCDOMUSDT,5072.1,5079.3,5079.3,5072.1,8731.6719,1.067,5417.5083,86,1770005460000
ONTUSDT,0.05,0.0499,0.0501,0.0499,2245.77189,3212.1,160.66235,27,1770005460000
COMPUSDT,19.25,19.16,19.25,19.16,5352.22447,67.664,1300.36945,65,1770005460000
BATUSDT,0.124,0.1236,0.124,0.1235,10136.70838,45084.6,5579.4872,67,1770005460000
BCHUSDT,508.0,505.74,508.0,505.74,94248.80331,48.725,24700.2719,722,1770005460000
ALICEUSDT,0.13,0.129,0.13,0.129,9654.8179,23366.7,3014.6977,56,1770005460000
HOTUSDT,0.000404,0.000404,0.000405,0.000403,4274.909081,4291859.0,1732.620113,84,1770005460000
BANDUSDT,0.2451,0.244,0.2452,0.244,882.87057,1371.1,335.97997,35,1770005460000
SOLUSDT,99.47,99.02,99.47,99.01,3607598.7118,17670.05,1754234.2685,4028,1770005460000
DUSKUSDT,0.09819,0.09764,0.09819,0.09764,34052.38242,91003.0,8908.5443,490,1770005460000
SFPUSDT,0.2909,0.2896,0.2909,0.2895,539.5492,255.0,74.0231,36,1770005460000
TRBUSDT,15.846,15.772,15.848,15.772,5676.3048,58.4,924.0951,341,1770005460000
XLMUSDT,0.17221,0.17142,0.17221,0.17135,27043.26848,62661.0,10761.53609,391,1770005460000
NEARUSDT,1.168,1.161,1.168,1.161,71399.259,11833.0,13782.07,275,1770005460000
LTCUSDT,57.86,57.59,57.86,57.59,113432.34842,728.532,42076.32465,475,1770005460000
ONEUSDT,0.00284,0.00283,0.00284,0.00283,2877.59717,4401.0,12.49884,35,1770005460000
ETHUSDT,2225.43,2212.66,2225.44,2212.26,16241486.89265,2725.145,6044850.93587,17526,1770005460000
MASKUSDT,0.5145,0.5116,0.5145,0.5116,6040.6248,4124.0,2115.6794,149,1770005460000
VETUSDT,0.008153,0.008106,0.008153,0.008106,11307.185855,640355.0,5208.505397,348,1770005460000
SUSHIUSDT,0.234,0.2329,0.234,0.2328,11328.1749,9466.0,2208.0069,96,1770005460000
DYDXUSDT,0.13,0.13,0.131,0.129,32837.5172,52959.0,6885.1016,98,1770005460000
OGNUSDT,0.0236,0.0235,0.0236,0.0234,6622.2298,4797.0,113.0419,47,1770005460000
NEOUSDT,3.1,3.083,3.1,3.083,3012.61851,303.4,938.19969,126,1770005460000
ENSUSDT,6.75,6.715,6.75,6.715,12212.5153,357.4,2407.2092,175,1770005460000
STORJUSDT,0.106,0.1056,0.106,0.1056,2147.3068,658.0,69.6822,44,1770005460000
SANDUSDT,0.09905,0.09854,0.09905,0.09854,23490.44429,74928.0,7406.43043,570,1770005460000
LPTUSDT,2.539,2.529,2.539,2.529,2788.4124,355.3,900.2429,75,1770005460000
THETAUSDT,0.2128,0.2117,0.2128,0.2116,13707.13905,22365.1,4743.49254,165,1770005460000
XRPUSDT,1.568,1.5597,1.568,1.5597,1180098.45906,300869.2,470581.37514,3010,1770005460000
ZILUSDT,0.00401,0.00399,0.00401,0.00399,8975.64386,992046.0,3968.20505,86,1770005460000
ZECUSDT,298.3,296.76,298.3,296.69,507207.794,370.669,110264.79653,2766,1770005460000
ANKRUSDT,0.00493,0.004901,0.00493,0.004901,1667.619357,53729.0,264.080262,56,1770005460000
ENJUSDT,0.02359,0.02349,0.02359,0.02349,1562.23893,20508.0,482.83694,58,1770005460000
XTZUSDT,0.458,0.457,0.459,0.457,8634.831,2551.9,1171.0067,41,1770005460000
RLCUSDT,0.4944,0.4933,0.495,0.4931,1236.93305,80.0,39.5289,22,1770005460000
CHRUSDT,0.0293,0.0292,0.0294,0.0292,4841.0408,65836.0,1925.5362,58,1770005460000
LINKUSDT,9.266,9.211,9.266,9.21,227643.81904,10477.31,96815.30212,815,1770005460000
BNBUSDT,748.57,745.2,748.57,745.2,597780.6744,302.55,225945.8531,1945,1770005460000
ROSEUSDT,0.01724,0.01715,0.01724,0.01715,12161.38399,57602.0,992.43039,171,1770005460000
MANAUSDT,0.1112,0.1106,0.1112,0.1106,3671.6465,10079.0,1118.3475,66,1770005460000
GALAUSDT,0.00468,0.00466,0.00468,0.00466,11150.7872,89781.0,419.43931,114,1770005460000
DASHUSDT,43.3,43.07,43.3,43.07,67112.08883,398.303,17210.30471,732,1770005460000
AXSUSDT,1.709,1.701,1.71,1.701,62587.503,14443.0,24638.427,488,1770005460000
FLOWUSDT,0.05598,0.05568,0.05599,0.05568,5010.734959,27198.0,1518.611125,162,1770005460000
KAVAUSDT,0.0618,0.0616,0.0618,0.0616,4491.79415,0.0,0.0,26,1770005460000
ETCUSDT,9.479,9.44,9.479,9.44,77835.81827,1254.24,11862.88662,231,1770005460000
IMXUSDT,0.179,0.1781,0.179,0.1781,6480.8479,23385.0,4179.0743,102,1770005460000
CRVUSDT,0.273,0.272,0.274,0.272,163613.7399,122157.6,33228.4201,237,1770005460000
YFIUSDT,2764.0,2752.0,2764.0,2752.0,868.428,0.15,413.462,45,1770005460000
SNXUSDT,0.334,0.331,0.334,0.331,10786.6313,65.3,21.8102,71,1770005460000
TRXUSDT,0.28217,0.28174,0.28217,0.28169,102213.72386,100885.0,28431.03453,537,1770005460000
ARUSDT,2.467,2.453,2.467,2.451,13751.7951,481.7,1185.0138,157,1770005460000
DENTUSDT,0.000158,0.000157,0.000158,0.000157,261.416323,1308614.0,206.761012,11,1770005460000
XMRUSDT,401.91,398.95,401.91,398.8,155944.91354,63.196,25263.5474,1240,1770005460000
ATAUSDT,0.0138,0.0138,0.0138,0.0138,48.8934,3543.0,48.8934,4,1770005460000
LRCUSDT,0.04003,0.03983,0.04003,0.03982,4485.70094,92365.0,3685.06767,85,1770005460000
CELOUSDT,0.093,0.093,0.093,0.092,1125.4696,11349.6,1055.5128,13,1770005460000
SKLUSDT,0.00749,0.00746,0.0075,0.00746,4311.79549,359665.0,2695.46131,67,1770005460000
GMTUSDT,0.01349,0.0134,0.01349,0.0134,9138.43654,148607.0,1998.45049,129,1770005460000
KSMUSDT,5.33,5.306,5.33,5.306,4598.2735,162.7,865.3831,101,1770005460000
IOTAUSDT,0.0703,0.0701,0.0703,0.0701,12872.92361,48490.9,3408.37884,56,1770005460000
ADAUSDT,0.2836,0.282,0.2836,0.282,305261.7329,350875.0,99280.7374,945,1770005460000
IOTXUSDT,0.00627,0.00625,0.00627,0.00625,144.80011,1644.0,10.30788,13,1770005460000
KNCUSDT,0.1694,0.1689,0.1694,0.1689,87.9951,178.0,30.1532,7,1770005460000
ARPAUSDT,0.01137,0.01135,0.01138,0.01134,8005.61194,123576.0,1404.11582,148,1770005460000
APEUSDT,0.1437,0.1428,0.1437,0.1428,7297.0849,2243.0,321.6538,119,1770005460000
AAVEUSDT,124.0,123.27,124.0,123.27,56080.721,189.0,23372.503,477,1770005460000
GRTUSDT,0.02948,0.02936,0.02948,0.02934,9550.2846,144161.0,4235.8309,135,1770005460000
IOSTUSDT,0.001353,0.001349,0.001353,0.001349,1330.054592,327934.0,443.263981,25,1770005460000
HBARUSDT,0.08809,0.08765,0.08809,0.08762,65915.76238,403497.0,35427.72912,572,1770005460000
BTCUSDT,75760.6,75456.8,75760.7,75456.7,21711327.4841,100.959,7633832.125,12010,1770005460000
CELRUSDT,0.00287,0.00286,0.00287,0.00285,2332.81194,37730.0,108.03949,36,1770005460000
EGLDUSDT,4.612,4.592,4.612,4.591,10276.1119,1152.0,5308.6144,171,1770005460000
